Home_logo,Home_Team,Home_Record,Home_Money_line,Home_Point_spread,Home_Total_points,Away_logo,Away_Team,Away_Record,Away_Money_line,Away_Point_spread,Away_Total_points,League
https://s.yimg.com/iu/api/res/1.2/Hzu6dUSAbWg3B.zH1Zm4cQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190402/500x500/nationals_wbgs.png,Washington Nationals,,+200,+2.5 (-130),U 8.5 (-110),https://s.yimg.com/iu/api/res/1.2/MDIZFidcQrGRDFqJTW8RuA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/braves_wbgs.png,Atlanta Braves,(1-0),-250,-2.5 (+105),O 8.5 (-110),MLB
https://s.yimg.com/iu/api/res/1.2/oVTfNX2__Q6FfY91sbcmTQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/oakland_a_wbgs.png,Oakland Athletics,(1-0),+135,+1.5 (-125),U 7.5 (-105),https://s.yimg.com/iu/api/res/1.2/P2Udna1QRBrNpoEV9bTYSg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190312/500x500/angels_wbg.png,Los Angeles Angels,,-165,-1.5 (+105),O 7.5 (-115),MLB
https://s.yimg.com/iu/api/res/1.2/1loRzMAfu38Fj7pZzxOy6w--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190308/500x500/royals_wbgs.png,Kansas City Royals,,+140,+1.5 (-120),U 8 (-105),https://s.yimg.com/iu/api/res/1.2/_djTl7mTeMZPvlqYLcpp4g--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/twins_wbgs.png,Minnesota Twins,(1-0),-165,-1.5 (+100),O 8 (-115),MLB
https://s.yimg.com/iu/api/res/1.2/tP.tY2ROclCweIeFqheiXQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20211123/500x500/Boston-Red-Sox_wbg.png,Boston Red Sox,,-155,-1.5 (+125),U 9.5 (-120),https://s.yimg.com/iu/api/res/1.2/mfxXsvzw3tG_2FHlYIfAfw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190314/500x500/orioles_wbg.png,Baltimore Orioles,(1-0),+125,+1.5 (-150),O 9.5 (+100),MLB
https://s.yimg.com/iu/api/res/1.2/PqIgwpl84d4M19clOw9UPQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/cincinnati_reds_wbgs.png,Cincinnati Reds,,-145,-1.5 (+140),U 8.5 (-105),https://s.yimg.com/iu/api/res/1.2/Q09EWN6CnP_byvVz9jhnxw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190312/500x500/pirates_wbgs.png,Pittsburgh Pirates,(1-0),+120,+1.5 (-165),O 8.5 (-115),MLB
https://s.yimg.com/iu/api/res/1.2/0xroDtcqr.rjzRAErl6wcg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190307/500x500/rays_wbg.png,Tampa Bay Rays,(1-0),-175,-1.5 (+120),U 7 (+105),https://s.yimg.com/iu/api/res/1.2/KSxVbnP.FGtGSp.pVTNCEg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/tigers_wbgs.png,Detroit Tigers,,+145,+1.5 (-145),O 7 (-125),MLB
https://s.yimg.com/iu/api/res/1.2/dF7mPg8EP_cV9SaW2_57IQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/marlins_wbgs.png,Miami Marlins,(1-1),+100,+1.5 (-165),U 8 (-105),https://s.yimg.com/iu/api/res/1.2/mXREYJwxabQJZZwU.M3Q.A--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190328/500x500/mets_wbgs.png,New York Mets,(1-1),-120,-1.5 (+140),O 8 (-115),MLB
https://s.yimg.com/iu/api/res/1.2/6CGwbo6gTFmqHhf6DucNaQ--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20200508/500x500/padres_wbgs.png,San Diego Padres,,-225,-1.5 (-110),U 8 (-105),https://s.yimg.com/iu/api/res/1.2/8Hv4g4RYHorxS.cPZffwLg--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190311/500x500/rockies_wbgs.png,Colorado Rockies,(2-0),+180,+1.5 (-110),O 8 (-115),MLB
https://s.yimg.com/iu/api/res/1.2/n1BK2QTP2wrIU2J0PPB.SA--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190319/500x500/dodgers_wbgs.png,Los Angeles Dodgers,(1-1),-250,-1.5 (-120),U 7.5 (+100),https://s.yimg.com/iu/api/res/1.2/yYZCBbeetmlir0dBjlAm1Q--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20190315/500x500/diamondbacks_wbgs.png,Arizona Diamondbacks,(1-1),+200,+1.5 (+100),O 7.5 (-120),MLB
https://s.yimg.com/iu/api/res/1.2/9FUxztAh_FUiH55pTv8F9A--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/20181022/500x500/mariners_wbg.png,Seattle Mariners,(1-1),-140,-1.5 (+150),U 7 (-105),https://s.yimg.com/iu/api/res/1.2/sGCfmyqcaP809eRec.01tw--~B/YXBwaWQ9c2hhcmVkO2ZpPWZpbGw7cT0xMDA7aD02MDt3PTYw/https://s.yimg.com/cv/apiv2/default/mlb/20220425/500x500/guardians_wbg.png,Cleveland Guardians,(1-1),+115,+1.5 (-185),O 7 (-115),MLB
